source_name,region,city,category,ownership,registration_type,annual_visitors,collection_count,exhibition_area_sqm,official_scale_score,data_confidence,source_reference_date,source_sheet,source_row,source_url
성북근현대문학관,서울,성북구,박물관,공립,1종,11314,844,193.64,43.5,1.0,2025-01-01,박물관,52,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한국조리박물관,경기,안성시,박물관,사립,1종,4204,10371,448.9,43.4,1.0,2025-01-01,박물관,432,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
호림박물관 신림본관,서울,관악구,박물관,사립,1종,1622,18131,4623.0,43.3,1.0,2025-01-01,박물관,117,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한국기독교역사박물관,경기,이천시,박물관,사립,2종,4032,105366,364.0,43.1,1.0,2025-01-01,박물관,429,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
구하우스 미술관,경기,양평군,미술관,사립,1종,20241,113,787.0,43.0,1.0,2025-01-01,미술관,152,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
유리섬미술관,경기,안산시,미술관,사립,2종,35000,150,257.0,43.0,1.0,2025-01-01,미술관,176,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
한강뮤지엄,경기,남양주시,미술관,사립,1종,20103,111,786.0,42.6,1.0,2025-01-01,미술관,183,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
세화미술관,서울,종로구,미술관,사립,1종,17810,108,1124.8,42.3,1.0,2025-01-01,미술관,37,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
김포다도박물관,경기,김포시,박물관,사립,1종,23257,207,185.0,42.1,1.0,2025-01-01,박물관,380,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
금호미술관,서울,종로구,미술관,사립,1종,9235,818,727.0,42.0,1.0,2025-01-01,미술관,25,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
성신여자대학교 자연사박물관,서울,강북구,박물관,대학,1종,1650,340000,525.0,42.0,1.0,2025-01-01,박물관,141,https://www.mcst.go.kr/site/s_policy/dept/deptView.jsp?pDataCD=0417000000&pSeq=2078&pType=
